team_name,injured_players,total_missed_games,games_lost_to_injury,fp_lost_pct
Morovis  El Calor 🏆,3,9.0,219.4,59.0
BBQ CHICKEN HOSPITAL,4,9.0,175.0,46.9
Morrisville Rehab Facility,3,9.0,171.0,42.9
Las Villas ENDGAME,3,9.0,149.3,31.7
Ringo's Cool Team,5,6.0,129.4,37.5
Reaves's Pieces,3,6.0,115.5,36.6
La Guillotina,2,6.0,114.0,21.8
Bench warming brick layers unit,2,6.0,105.9,38.2
Barrio Cerrillos 🏆,4,6.0,98.2,22.5
Minneapolis Lakers,5,6.0,78.5,19.0
El TumbaCuello 🏆,2,3.0,70.1,13.3
El Mostroso,1,3.0,49.2,10.6
Los Suns de PFKNR,3,3.0,36.6,8.6
Champion DX S*CK IT ,2,0.0,0.0,0.0
